simulation month frag_zone year random_number selected_set
1 1 1 1 0.42425348150595743 1
1 1 1 2 0.42425348150595743 1
1 1 1 3 0.42425348150595743 1
1 1 2 1 0.4486303685541173 5
1 1 2 2 0.4486303685541173 5
1 1 2 3 0.4486303685541173 5
1 1 3 1 0.6717768468986856 6
1 1 3 2 0.6717768468986856 6
1 1 3 3 0.6717768468986856 6
1 1 4 1 0.6904653649865722 10
1 1 4 2 0.6904653649865722 10
1 1 4 3 0.6904653649865722 10
1 1 5 1 0.3054573475171801 6
1 1 5 2 0.3054573475171801 6
1 1 5 3 0.3054573475171801 6
1 1 6 1 0.5049924813377051 1
1 1 6 2 0.5049924813377051 1
1 1 6 3 0.5049924813377051 1
1 1 7 1 0.4416568178042236 6
1 1 7 2 0.4416568178042236 6
1 1 7 3 0.4416568178042236 6
1 1 8 1 0.2805162238217934 5
1 1 8 2 0.2805162238217934 5
1 1 8 3 0.2805162238217934 5
1 1 9 1 0.24598750562004523 3
1 1 9 2 0.24598750562004523 3
1 1 9 3 0.24598750562004523 3
1 1 10 1 0.3948146437814797 1
1 1 10 2 0.3948146437814797 1
1 1 10 3 0.3948146437814797 1
1 1 11 1 0.5267455258199649 2
1 1 11 2 0.5267455258199649 2
1 1 11 3 0.5267455258199649 2
1 1 12 1 0.3262901361208085 7
1 1 12 2 0.3262901361208085 7
1 1 12 3 0.3262901361208085 7
1 1 13 1 0.8127618604542199 1
1 1 13 2 0.8127618604542199 1
1 1 13 3 0.8127618604542199 1
1 1 14 1 0.23703614342871526 3
1 1 14 2 0.23703614342871526 3
1 1 14 3 0.23703614342871526 3
1 1 15 1 0.7082591875464506 7
1 1 15 2 0.7082591875464506 7
1 1 15 3 0.7082591875464506 7
1 1 16 1 0.3402693900313015 7
1 1 16 2 0.3402693900313015 7
1 1 16 3 0.3402693900313015 7
1 1 17 1 0.0008294298668126698 2
1 1 17 2 0.0008294298668126698 2
1 1 17 3 0.0008294298668126698 2
1 1 18 1 0.25824584582434706 1
1 1 18 2 0.25824584582434706 1
1 1 18 3 0.25824584582434706 1
1 2 1 1 0.45848222724932863 9
1 2 1 2 0.45848222724932863 9
1 2 1 3 0.45848222724932863 9
1 2 2 1 0.16110724889077965 4
1 2 2 2 0.16110724889077965 4
1 2 2 3 0.16110724889077965 4
1 2 3 1 0.46760276110801513 7
1 2 3 2 0.46760276110801513 7
1 2 3 3 0.46760276110801513 7
1 2 4 1 0.31882790582160125 10
1 2 4 2 0.31882790582160125 10
1 2 4 3 0.31882790582160125 10
1 2 5 1 0.7636139769182405 3
1 2 5 2 0.7636139769182405 3
1 2 5 3 0.7636139769182405 3
1 2 6 1 0.6354282732244156 6
1 2 6 2 0.6354282732244156 6
1 2 6 3 0.6354282732244156 6
1 2 7 1 0.4755995907251588 8
1 2 7 2 0.4755995907251588 8
1 2 7 3 0.4755995907251588 8
1 2 8 1 0.9214572593690132 5
1 2 8 2 0.9214572593690132 5
1 2 8 3 0.9214572593690132 5
1 2 9 1 0.2177806549366812 9
1 2 9 2 0.2177806549366812 9
1 2 9 3 0.2177806549366812 9
1 2 10 1 0.5605808240296082 7
1 2 10 2 0.5605808240296082 7
1 2 10 3 0.5605808240296082 7
1 2 11 1 0.8101730871102506 9
1 2 11 2 0.8101730871102506 9
1 2 11 3 0.8101730871102506 9
1 2 12 1 0.66593400171577 10
1 2 12 2 0.66593400171577 10
1 2 12 3 0.66593400171577 10
1 2 13 1 0.7798810156939587 1
1 2 13 2 0.7798810156939587 1
1 2 13 3 0.7798810156939587 1
1 2 14 1 0.1666033406913635 7
1 2 14 2 0.1666033406913635 7
1 2 14 3 0.1666033406913635 7
1 2 15 1 0.42715095496417677 5
1 2 15 2 0.42715095496417677 5
1 2 15 3 0.42715095496417677 5
